scope,metric,label,output,assessment,existing_math,gap_codes,contract_notes,source,symbol,line,windows,reference_state
period,TotalReturn,总收益率,scalar per interval,C,"sum(where(not_equal(r,r),0,r))",,默认是对数收益之和；不是 engine total_return 的简单收益复利。cum_rtn=True 分支缺 return，属参考源码问题。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_TotalReturn,468,2d;3d;5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,AnnualizedReturn,年化收益率,scalar per interval,C,TotalReturn / nature_days * 365,,自然日分母与收益年化365；不能替换成按 length 年化。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_AnnualizedReturn,475,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,AverageDailyReturn,日均收益率,scalar per interval,D,"mean_where(r,not_equal(r,r)==false)",,"使用有效样本均值；实现时用 logical_not(not_equal(r,r))。",/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_AverageDailyReturn,485,2d;3d;5d;6d;7d;10d;15d;20d;25d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,AvgPositiveReturn,平均正收益率,scalar per interval,C,"mean(where(r>0,r,0))",,"分母为全部行，负值、0、NaN变0；不是 mean_where(r,r>0)。",/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_AvgPositiveReturn,489,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,AvgNegativeReturn,平均负收益率,scalar per interval,C,"mean(where(r<0,r,0))",,分母为全部行，正值、0、NaN变0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_AvgNegativeReturn,494,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,AvgReturnRatio,平均盈亏比,scalar per interval,C,AvgPositiveReturn / AvgNegativeReturn,,分母保持负号；源码只把 NaN 改0，Inf不改0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_AvgReturnRatio,499,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,TotalPositiveReturn,总累计盈利,scalar per interval,C,"sum(where(r>0,r,0))",,空正子集为0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_TotalPositiveReturn,504,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,TotalNegativeReturn,总累计亏损,scalar per interval,C,"sum(where(r<0,r,0))",,保留负值符号；空负子集为0。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_TotalNegativeReturn,509,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,TotalReturnRatio,累计盈亏比,scalar per interval,C,TotalPositiveReturn / absolute(TotalNegativeReturn),,所有非有限结果转0；先保护分母再除法，不能用 eager where 包异常。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_TotalReturnRatio,514,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,MedianDailyReturn,日中位收益率,scalar per interval,D,"median_where(r,valid)",,valid是非NaN；不是直接 median(r)。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_MedianDailyReturn,519,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,Volatility,波动率,scalar per interval,D,"std_where(r,valid)",,样本标准差 ddof=1；至少2有效样本。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_Volatility,523,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
period,AnnualizedVolatility,年化波动率,scalar per interval,C,Volatility * sqrt(252),,风险年化252，与收益年化365不同。,/Users/chenjunming/Desktop/KevinGit/PyFinance/MetricsFactory/period_metrics_cal.py,cal_AnnualizedVolatility,527,5d;6d;7d;10d;15d;20d;25d;30d;35d;50d;75d;5m;6m;9m;12m;2y,dispatch present; not full runtime certification
